thoi_diem,t_unix,nhan,p_tong_w,nhiet_do_c,xung_mhz,cpu_pct,throttled,p_0v8_aon_w,p_0v8_sw_w,p_1v1_sys_w,p_1v8_sys_w,p_3v3_adc_w,p_3v3_dac_w,p_3v3_sys_w,p_3v7_wl_sw_w,p_ddr_vdd2_w,p_ddr_vddq_w,p_hdmi_w,p_vdd_core_w
2026-09-13T13:24:24.957,1789280664.957,,1.4964,51.2,1500,0.5,0x0,0.00297,0.21899,0.20477,0.30937,0.00282,0.00222,0.17697,0.09764,0.03762,0.00000,0.07494,0.36809
2026-09-13T13:24:25.983,1789280665.984,,1.4078,51.8,1500,0.0,0x0,0.00312,0.21627,0.20370,0.30735,0.00242,0.00222,0.15749,0.05065,0.03440,0.00000,0.06923,0.36101
2026-09-13T13:24:27.009,1789280667.010,,1.4384,50.7,1500,0.2,0x0,0.00331,0.21539,0.20290,0.30670,0.00241,0.00242,0.18952,0.05413,0.02902,0.00000,0.07174,0.36088
2026-09-13T13:24:28.036,1789280668.036,,1.3878,51.2,1500,0.0,0x0,0.00297,0.21314,0.21485,0.31460,0.00282,0.00222,0.16479,0.00000,0.04000,0.00000,0.07099,0.36140
2026-09-13T13:24:29.062,1789280669.062,,1.5699,51.8,1500,0.2,0x0,0.00297,0.21939,0.21843,0.29899,0.00242,0.00141,0.19328,0.17728,0.02622,0.00000,0.06861,0.36088
2026-09-13T13:24:30.088,1789280670.089,,1.6253,51.2,1500,0.0,0x0,0.00312,0.29289,0.20444,0.30670,0.00241,0.00242,0.17035,0.17710,0.03353,0.00000,0.07110,0.36127
2026-09-13T13:24:31.114,1789280671.115,,1.3839,52.4,1500,0.2,0x0,0.00302,0.21693,0.20444,0.30594,0.00242,0.00242,0.16774,0.00362,0.04540,0.00000,0.07055,0.36140
2026-09-13T13:24:32.140,1789280672.141,,1.4535,51.2,1500,0.0,0x0,0.00287,0.22055,0.20411,0.30413,0.00282,0.00222,0.17025,0.08323,0.03226,0.00000,0.06980,0.36127
2026-09-13T13:24:33.167,1789280673.167,,1.6045,51.2,1500,0.0,0x0,0.00302,0.21665,0.20673,0.30813,0.00282,0.00222,0.19910,0.19874,0.03348,0.00000,0.07237,0.36127
2026-09-13T13:24:34.193,1789280674.193,,1.5664,51.8,1500,0.0,0x0,0.00297,0.21695,0.20767,0.30362,0.00282,0.00242,0.16727,0.19581,0.03237,0.00029,0.07305,0.36114
2026-09-13T13:24:35.219,1789280675.220,,1.7943,51.8,1500,0.0,0x0,0.00297,0.21617,0.20788,0.36280,0.00322,0.00222,0.28710,0.24277,0.03667,0.00000,0.07110,0.36140
2026-09-13T13:24:36.245,1789280676.246,,1.4190,51.2,1500,0.0,0x0,0.00317,0.21655,0.20566,0.31199,0.00241,0.00141,0.17087,0.04713,0.03027,0.00000,0.06789,0.36166
2026-09-13T13:24:37.272,1789280677.272,,1.3626,52.4,1500,0.0,0x0,0.00302,0.21226,0.20566,0.30421,0.00282,0.00222,0.16470,0.00000,0.03870,0.00000,0.07486,0.35420
2026-09-13T13:24:38.298,1789280678.298,,1.4184,51.8,1500,0.5,0x0,0.00297,0.21803,0.22966,0.31038,0.00282,0.00222,0.18741,0.00000,0.03235,0.00000,0.07118,0.36140
2026-09-13T13:24:39.324,1789280679.324,,1.4935,51.8,1500,0.0,0x0,0.00307,0.21499,0.28575,0.31282,0.00322,0.00222,0.19295,0.00000,0.03844,0.00000,0.07239,0.36770
2026-09-13T13:24:40.350,1789280680.351,,1.3798,52.4,1500,0.0,0x0,0.00312,0.21627,0.20229,0.30846,0.00241,0.00222,0.17375,0.00000,0.03881,0.00000,0.07118,0.36127
2026-09-13T13:24:41.376,1789280681.377,,1.3837,51.2,1500,0.0,0x0,0.00297,0.21997,0.20559,0.30937,0.00282,0.00222,0.17044,0.00000,0.03774,0.00000,0.07118,0.36140
2026-09-13T13:24:42.403,1789280682.403,,1.4177,51.2,1500,0.0,0x0,0.00312,0.21314,0.20350,0.30852,0.00322,0.00242,0.16680,0.04701,0.03777,0.00000,0.07114,0.36101
2026-09-13T13:24:43.429,1789280683.429,,1.4183,51.2,1500,0.0,0x0,0.00302,0.21743,0.20451,0.30571,0.00241,0.00222,0.17356,0.05049,0.02526,0.00000,0.07241,0.36127
2026-09-13T13:24:44.455,1789280684.455,,1.5877,51.8,1500,0.0,0x0,0.00297,0.21587,0.20337,0.30421,0.00282,0.00242,0.18305,0.20989,0.03117,0.00000,0.07097,0.36101
2026-09-13T13:24:45.481,1789280685.482,,1.5824,50.7,1500,0.0,0x0,0.00312,0.21725,0.20411,0.29899,0.00282,0.00201,0.16401,0.21367,0.04198,0.00000,0.07303,0.36140
2026-09-13T13:24:46.507,1789280686.508,,1.4461,51.2,1500,0.0,0x0,0.00297,0.21831,0.21779,0.30713,0.00241,0.00242,0.17999,0.04351,0.03742,0.00000,0.07288,0.36127
2026-09-13T13:24:47.533,1789280687.534,,1.4330,51.8,1500,0.5,0x0,0.00312,0.21929,0.20411,0.30141,0.00282,0.00242,0.16452,0.05070,0.05253,0.00000,0.07118,0.36088
2026-09-13T13:24:48.560,1789280688.560,,1.3910,51.8,1500,0.0,0x0,0.00312,0.22153,0.20691,0.30594,0.00282,0.00242,0.17682,0.00000,0.03880,0.00000,0.07121,0.36140
2026-09-13T13:24:49.586,1789280689.586,,1.4449,52.4,1500,0.0,0x0,0.00312,0.21617,0.22496,0.30670,0.00241,0.00141,0.22252,0.00000,0.03557,0.00000,0.07119,0.36088
2026-09-13T13:24:50.612,1789280690.612,,1.4604,51.8,1500,0.2,0x0,0.00312,0.27235,0.20673,0.30494,0.00282,0.00242,0.18974,0.00000,0.05274,0.00000,0.07119,0.35433
